,sentence,label
1524,making all kinds of gains ????,2
1525,looking to add a gold miner and possibly lower pe tech name into close,2
1526,looking weak and possibly ready to 'let go',0
1527,Marriott wins new Starwood deal by raising cash portion of bid,2
1528,Looks like one of the best values #Lithium stocks in the space,2
1529,Watchlist Top Stocks,2
1530,soars pre-market,2
1531,$BBRY smack down looks legitimate $GS $MS are playing ignorant,0
1532,allow for the growing middle class working with,2
1533,Will we see $410 again,2
1534,Bricks and Mortar retailers selling cheaper +consumer -retailers,0
1535,Oil To Break Out Adding Chevron,2
1536,under $2 today?,0
1537,Falls 18% Pre-Market on Q3 Sales Results,0
1538,growing customers globally e stay long,2
1539,Little-Discussed Problem This Pro Is Watching At,0
1540,an upward movement is expected,2
1541,Market seems stuck in the mud,0
1542,will get in on the next run up,2
1543,Fed cuts rates forecast Our calls go 100%,2
1544,Buy the dip',2
1545,next year could be a very good year for them would like to start adding soon,2
1546,Stock Trading Lower Today  Warning After Upbeat Earnings Results,0
1547,bear raid,0
1548,curing #overbought conditions,0
1549,Launch Updated Model S With Steeper Price Tag,2
1550,getting kneecapped by $BEXP selling itself dirt cheap,0
1551,$AMZN is becoming more and more the go-to site for almost all categories in ecommerce.,2
1552,Alibaba invests in Southeast Asian retailer Lazada $EFUT,1
1553,getting sold here.,0
1554,the most trending,2
1555,$AAPL could pick em up too.,2
1556,Higher In Afternoon Trade Buy Point,2
1557,$AAPL a new long IF 110.61 is broke,2
1558,puts came in,0
1559,record number of passengers served in 2015,2
1560,ure has lots of attractive suitors,2
1561,delivering the goods again let's see if that can spill over in other chinese internet names,2
1562,on lows down,0
1563,could be lotto winners,2
1564,Buy the dip',2
1565,A good place to take a shot,2
1566,5 Reasons Not to Buy Gold,0
1567,In oversold conditions howing now nice positive divergences on chart Potential Bounce,2
1568,stocks at support w/ high trade quality,2
1569,Buying $fas last week was the play of the month Wish i woulda pulled the trigger,2
1570,Slow bleeding death It will likely be a horror show event,0
1571,SolarCity customers can produce enough electricity to power Tesla fleet,2
1572,$YHOO bidding heats up,2
1573,Nice day rally!,2
1574,"Sector has been taking a beating recently, could be positive here will catch a bid today",2
1575,Gevoâ€™s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight,2
1576,downgrade,0
1577,BMW entering into ride-share market with i3,2
1578,hope kog shorters learned a lesson dont mess with this bear,2
1579,has a 42.71% Float Short. Lo http://stks.co/e0DfP,0
1580,interest level has skyrocketed here the last two week,2
1581,new PM high,2
1582,Nice day rally!,2
1583,long on,2
1584,333.0% increased bullish conversations,2
1585,Accumulating,0
1586,Stochastic Overbought,0
1587,Daily Mail And General Trust eyeing Yahoo!,2
1588,received a Buy rating from Wells Fargo,2
1589,taking a small chill pill today,0
1590,Five Stocks that Helped Starboard Valueâ€™s Equity Portfolio Return 6.5% in Q1,2
1591,companies shld be worried about iCloud,0
1592,Sector Stocks Leading Today,2
1593,held the trend line,2
1594,Multi-year stock breakouts,2
1595,Moved Upper Bollinger Band,2
1596,Five Stocks that Helped Starboard Valueâ€™s Equity Portfolio Return 6.5% in Q1,2
1597,Miles beyond the competition,2
1598,Slips on Downgrade,0
1599,add in,2
1600,Buy the dip',2
1601,Price experiencing early rejection,0
1602,In Play Longs,2
1603,Will be adding on dips,2
1604,Moved Upper Bollinger Band,2
1605,Yahoo extends bidding deadline as interest grows,2
1606,Sold some $TSLA Puts this morning,0
1607,Top holdings,2
1608,short,0
1609,will close below  monday will be freewater fall,0
1610,famous lunch hour fade down routine rise later in the day,2
1611,$AAPL +1.44%,2
1612,weak hands being flushed from metals and miners Fear selling Guess who is buying? Mr Greed.,2
1613,Can make HOD LONGS,2
1614,13F Shows New Stakes in ,2
1615,Omg OMG so excited!!!!,2
1616,Stay long,2
1617,I hope it gets resolved to the upside,2
1618,Best outperformers ranked,2
1619,shorts are trapped,2
1620,they want the stock too keep going up,0
1621,what's a great move still hold it since back in at the day before yesterday Marry Christmas:-),2
1622,No edge offered,2
1623,"goes deep into #machinelearning and #AI territory with its new $125,000 supercomputer",2
1624,$CHK +13.56%,2
1625,Slips on Downgrade,0
1626,Same sellers we saw yesterday,0
1627,,2
1628,No need for $FB at all unless you want your content censored,0
1629,Ross Stores Upgraded to Outperform at RBC Capital Markets,2
1630,upgraded,2
1631,mrkt needs to washout,0
1632,LONGS,2
1633,downgraded to Neutral at Wedbush PT Lowered to,0
1634,Long tech calls,2
1635,$TFM will have a way to go price wise to compete,0
1636,Nice day rally!,2
1637,$SQNS drops to $5.15,2
1638,soars pre-market,2
1639,China February Retail Sales: E-Commerce Remains Resilient,2
1640,Double bottom with handle buy point,2
1641,Torture.......,0
1642,high-flyers have been falling,0
1643,trails $MSFT $ORCL $GOOG $CRM $ADBE,2
1644,Quality Stocks With High Cash Returns,2
1645,running again,2
1646,don't look for a dividend at the Feb Shareholders meeting,0
1647,make a ton of money,2
1648,Unusual Call Activity,2
1649,breaks major support,0
1650,in the $3s,1
1651,Sanofi often on the wrong end of business.,0
1652,OPENING BUYER Calls,2
1653,Notable gainers among liquid option names this morning,2
1654,Receives a Sell from Compass Point,0
1655,,1
1656,still have positive market bias Sharp Rally In Low-Quality Stocks Points To Ongoing Market Gains,2
1657,Stochastic Overbought,0
1658,Earnings will drive stock prices,2
1659,Why The Coal & Shipping Sectors Could Rise Again,2
1660,long,2
1661,anyone long before the flush please accept my condolences Congrats. to all that were short,0
1662,thinking that last entry was good but needs a push,2
1663,no position,0
1664,waiting for price to enter buy/support zone strong support,2
1665,downgrade,0
1666,gotta hold,2
1667,still in massive weekly & monthly uptrend,2
1668,Aggressive Buy,2
1669,keeps Outperform rated,2
1670,Stochastic Overbought,0
1671,Good to load up Be confident,2
1672,Worst performers today  $RIG -13%,0
1673,Insiders Are Selling,0
1674,Pie In The Sky,2
1675,Small caps threatening descending triangle breakdown,0
1676,Amazon has been selling surveillance cameras infected with malware,0
1677,$HTZ lower,0
1678,Don't hang your bull hat yet Next week we will pop higher,2
1679,Alphabet Inc was just upgraded to buy,2
1680,Today I bought more,2
1681,brings upscale concept,2
1682,looking for a sharp move up in equities,2
1683,I'm betting over 52%,0
1684,careful can reverse fast,0
1685,#OwnItDon'tTradeIt,2
1686,TOP 5 STOCK PICKS,2
1687,Major skin in the game...positive.,2
1688,100.0% increased bearish conversations,0
1689,"Another Sell Rating, Sell Rating",0
1690,sold today,0
1691,Buy Call!,2
1692,Long buying point,2
1693,UPGRADE today by MS to overweight Excellent company and leadership,2
1694,Buy the dip',2
1695,So both call/put buyers are crushed,0
1696,Buy stop above 80,2
1697,Airplane And Hospitality Industries Set Their Sights On #Cuba,2
1698,nice bounce,2
1699,overbought,0
0,Putting on a little $F short,0
1,short some,0
2,buying opportunity,2
3,Scaling Up on Long Position,2
4,its time to sell banks,0
5,Entering long,2
6,picked some up,2
7,time to accumulate for a long position far more upside than downside,2
8,Buying $SBUX on dip,2
9,is a short below 740 and is overbought,0
